"Artist Name","Apple Music","Amazon Music","Spotify"
"Linon Amakomo","https://music.apple.com/us/artist/linon-amakomo/1740692919","https://music.amazon.co.jp/artists/B0CNZ9DSJL","https://open.spotify.com/artist/7kNpwHd3AvrjGWpvXDAcEn"
"LIVE UNION","https://music.apple.com/us/artist/live-union/1803579925","https://music.amazon.co.jp/artists/B0CR3MDVW8","https://open.spotify.com/artist/7hFoOhZAxGtxNzGqxJEczt"
"livetune","https://music.apple.com/us/artist/livetune/491599229","https://music.amazon.co.jp/artists/B001LHXJK8","https://open.spotify.com/artist/0nYhCORUWxGHidxdmDNGzJ"
"Lize Helesta","https://music.apple.com/us/artist/lize-helesta/1513908494","https://music.amazon.co.jp/artists/B08KH3H8GM","https://open.spotify.com/artist/2SG6GPuUB5dlHpojqiGfQw"
"Luna Kaguya","https://music.apple.com/us/artist/luna-kaguya/1426323316","https://music.amazon.co.jp/artists/B0785N9DMV","https://open.spotify.com/artist/6GvZj7k8J8sVFvGPGKTgqK"
"Magical Girl holoWitches!","https://music.apple.com/us/artist/magical-girl-holowitches/1748977545","https://music.amazon.co.jp/artists/B0CNYPJJKC","https://open.spotify.com/artist/2tYcMhXF1MPUjjXMJaCvKJ"
"MaiR","https://music.apple.com/us/artist/mair/1555816873","https://music.amazon.co.jp/artists/B08WJMPTW5","https://open.spotify.com/artist/4eeXmEuZlqVqmBFIFYkQBW"
"Makaino Ririmu","https://music.apple.com/us/artist/makaino-ririmu/1604744638","",""
"MaRiNaSu","https://music.apple.com/us/artist/marinasu/1563846985","https://music.amazon.co.jp/artists/B0916DQBP6","https://open.spotify.com/artist/4j0bqHjR7PklckR2AkgV4Y"
"MarinasuMusic","https://music.apple.com/us/artist/marinasu/1473381674","",""
"Mea Hoshino","https://music.apple.com/us/artist/mea-hoshino/1484622536","",""
"Mea Kagura","https://music.apple.com/us/artist/mea-kagura/1491868499","https://music.amazon.co.jp/artists/B07GKWP7BF","https://open.spotify.com/artist/3u0ZuIhbly8dvSYXhHsGjp"
"MEDA","https://music.apple.com/us/artist/meda/1528075864","https://music.amazon.co.jp/artists/B08BG7B8KG","https://open.spotify.com/artist/4oj7EqYDNyqJBBTEqrEtZl"
"Met Komori","https://music.apple.com/us/artist/met-komori/1551575090","https://music.amazon.co.jp/artists/B09QG4S2QP","https://open.spotify.com/artist/7xCJZFPvH2M9pQxAFzXVU9"
"Mewhan","https://music.apple.com/us/artist/mewhan/1203185029","",""
"Mico Sekishiro","https://music.apple.com/us/artist/mico-sekishiro/1489295266","",""
"Midnight Grand Orchestra","https://music.apple.com/us/artist/midnight-grand-orchestra/1615949186","https://music.amazon.co.jp/artists/B09PDCLCTP","https://open.spotify.com/artist/2hR5RGHXNDXcw7jjSkeOYi"
"Mikeneko","https://music.apple.com/us/artist/mikeneko/1666437691","https://music.amazon.co.jp/artists/B0B4TDPH5X","https://open.spotify.com/artist/0tZ3MwrnrhGDc3kpXLZGzb"
"MiMi Kanade","https://music.apple.com/us/artist/mimi-kanade/1550008196","https://music.amazon.co.jp/artists/B08VQT8PLR","https://open.spotify.com/artist/0vkGCZ4D6uZDy1KvLx5JYX"
"Mimi Tosaki","https://music.apple.com/us/artist/mimi-tosaki/1838405504","",""
"Minato Aqua","https://music.apple.com/us/artist/minato-aqua/1528261915","https://music.amazon.co.jp/artists/B08H5D8T96","https://open.spotify.com/artist/2nC8GwUmpoLfvL0aHhxRmP"
"Mirai Akari","https://music.apple.com/us/artist/mirai-akari/1454607744","https://music.amazon.co.jp/artists/B07BJZB4JH","https://open.spotify.com/artist/2lWNPlNDOYWV8ZY1AlF6oI"
"Mirea Sheltzs","https://music.apple.com/us/artist/mirea-sheltzs/1659968207","",""
"Misa Anshinin","https://music.apple.com/us/artist/misa-anshinin/1740692920","https://music.amazon.co.jp/artists/B0CNZ9DSJL","https://open.spotify.com/artist/7fJs8giMQgXPr2uqOKPbm6"
"Moka Amayui","https://music.apple.com/us/artist/moka-amayui/1837131610","",""
"Momosuzu Nene","https://music.apple.com/us/artist/momosuzu-nene/1556189082","https://music.amazon.co.jp/artists/B08WHXBRYP","https://open.spotify.com/artist/6ucVY4AlxWxTTCw3WysgNx"
"Moona Hoshinova","https://music.apple.com/us/artist/moona-hoshinova/1558250263","https://music.amazon.co.jp/artists/B08XGYK2RG","https://open.spotify.com/artist/2oL2POX0G4LMJQ4Zjk5Dz5"
"Mori Calliope","https://music.apple.com/us/artist/mori-calliope/1536368549","https://music.amazon.co.jp/artists/B08WJMPTW5","https://open.spotify.com/artist/1PhE6rv0146ZTQosoPDjk8"
